title,runtime,parental_guide,genre,directors,stars,writers,person_id,gross_us_canada,film_id
One Flew Over the Cuckoo's Nest,2h 13m,R,['Drama'],['Milos Forman'],"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman']","['Lawrence Hauben', 'Bo Goldman', 'Ken Kesey']","{'directors': ['0001232'], 'stars': ['0000197', '0001221', '0077720'], 'writers': ['0369142', '0325743', '0450181']}","$108,981,275",0073486
Se7en,2h 7m,R,"['Crime', 'Drama', 'Mystery']",['David Fincher'],"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey']",['Andrew Kevin Walker'],"{'directors': ['0000399'], 'stars': ['0000151', '0000093', '0000228'], 'writers': ['0001825']}","$100,125,643",0114369
It's a Wonderful Life,2h 10m,PG,"['Drama', 'Family', 'Fantasy']",['Frank Capra'],"['James Stewart', 'Donna Reed', 'Lionel Barrymore']","['Frances Goodrich', 'Albert Hackett', 'Frank Capra']","{'directors': ['0001008'], 'stars': ['0000071', '0001656', '0000859'], 'writers': ['0329304', '0352443', '0001008']}","$1,483,643",0038650
Seven Samurai,3h 27m,Not Rated,"['Action', 'Drama']",['Akira Kurosawa'],"['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima']","['Akira Kurosawa', 'Shinobu Hashimoto', 'Hideo Oguni']","{'directors': ['0000041'], 'stars': ['0001536', '0793766', '0875477'], 'writers': ['0000041', '0368074', '0644823']}","$318,649",0047478
The Silence of the Lambs,1h 58m,R,"['Crime', 'Drama', 'Thriller']",['Jonathan Demme'],"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney']","['Thomas Harris', 'Ted Tally']","{'directors': ['0001129'], 'stars': ['0000149', '0000164', '0095029'], 'writers': ['0365383', '0848217']}","$130,742,922",0102926
Interstellar,2h 49m,PG-13,"['Adventure', 'Drama', 'Sci-Fi']",['Christopher Nolan'],"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain']","['Jonathan Nolan', 'Christopher Nolan']","{'directors': ['0634240'], 'stars': ['0000190', '0004266', '1567113'], 'writers': ['0634300', '0634240']}","$188,020,017",0816692
Saving Private Ryan,2h 49m,R,"['Drama', 'War']",['Steven Spielberg'],"['Tom Hanks', 'Matt Damon', 'Tom Sizemore']",['Robert Rodat'],"{'directors': ['0000229'], 'stars': ['0000158', '0000354', '0001744'], 'writers': ['0734441']}","$217,049,603",0120815
City of God,2h 10m,R,"['Crime', 'Drama']","['Fernando Meirelles', 'Kátia Lund']","['Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele']","['Paulo Lins', 'Bráulio Mantovani']","{'directors': ['0576987', '0526199'], 'stars': ['1179105', '1129884', '0618690'], 'writers': ['0513130', '1130251']}","$7,564,459",0317248
Life Is Beautiful,1h 56m,PG-13,"['Comedy', 'Drama', 'Romance']",['Roberto Benigni'],"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini']","['Vincenzo Cerami', 'Roberto Benigni']","{'directors': ['0000905'], 'stars': ['0000905', '0000971', '0134493'], 'writers': ['0148437', '0000905']}","$57,563,264",0118799
The Green Mile,3h 9m,R,"['Crime', 'Drama', 'Fantasy']",['Frank Darabont'],"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse']","['Stephen King', 'Frank Darabont']","{'directors': ['0001104'], 'stars': ['0000158', '0003817', '0001556'], 'writers': ['0000175', '0001104']}","$136,801,374",0120689
Star Wars: Episode IV - A New Hope,2h 1m,PG,"['Action', 'Adventure', 'Fantasy']",['George Lucas'],"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",['George Lucas'],"{'directors': ['0000184'], 'stars': ['0000434', '0000148', '0000402'], 'writers': ['0000184']}","$460,998,507",0076759
Terminator 2: Judgment Day,2h 17m,R,"['Action', 'Sci-Fi']",['James Cameron'],"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']","['James Cameron', 'William Wisher']","{'directors': ['0000116'], 'stars': ['0000216', '0000157', '0000411'], 'writers': ['0000116', '0936537']}","$205,881,154",0103064
Back to the Future,1h 56m,PG,"['Adventure', 'Comedy', 'Sci-Fi']",['Robert Zemeckis'],"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']","['Robert Zemeckis', 'Bob Gale']","{'directors': ['0000709'], 'stars': ['0000150', '0000502', '0000670'], 'writers': ['0000709', '0301826']}","$212,836,762",0088763
Spirited Away,2h 5m,PG,"['Animation', 'Adventure', 'Family']",['Hayao Miyazaki'],"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino']",['Hayao Miyazaki'],"{'directors': ['0594503'], 'stars': ['0153738', '0687189', '0997115'], 'writers': ['0594503']}","$15,205,725",0245429
The Pianist,2h 30m,R,"['Biography', 'Drama', 'Music']",['Roman Polanski'],"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay']","['Ronald Harwood', 'Wladyslaw Szpilman']","{'directors': ['0000591'], 'stars': ['0004778', '0470981', '0277975'], 'writers': ['0367838', '0844262']}","$32,572,577",0253474
Psycho,1h 49m,R,"['Horror', 'Mystery', 'Thriller']",['Alfred Hitchcock'],"['Anthony Perkins', 'Janet Leigh', 'Vera Miles']","['Joseph Stefano', 'Robert Bloch']","{'directors': ['0000033'], 'stars': ['0000578', '0001463', '0587256'], 'writers': ['0825010', '0088645']}","$32,000,000",0054215
Parasite,2h 12m,R,"['Drama', 'Thriller']",['Bong Joon Ho'],"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong']","['Bong Joon Ho', 'Han Jin-won']","{'directors': ['0094435'], 'stars': ['0814280', '1310525', '1856097'], 'writers': ['0094435', '8243301']}","$53,369,749",6751668
Gladiator,2h 35m,R,"['Action', 'Adventure', 'Drama']",['Ridley Scott'],"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen']","['David Franzoni', 'John Logan', 'William Nicholson']","{'directors': ['0000631'], 'stars': ['0000128', '0001618', '0001567'], 'writers': ['0291905', '0517589', '0629933']}","$187,705,427",0172495
The Lion King,1h 28m,G,"['Animation', 'Adventure', 'Drama']","['Roger Allers', 'Rob Minkoff']","['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones']","['Irene Mecchi', 'Jonathan Roberts', 'Linda Woolverton']","{'directors': ['0021249', '0591450'], 'stars': ['0000111', '0000460', '0000469'], 'writers': ['0575293', '0731271', '0941314']}","$422,783,777",0110357
Léon: The Professional,1h 50m,R,"['Action', 'Crime', 'Drama']",['Luc Besson'],"['Jean Reno', 'Gary Oldman', 'Natalie Portman']",['Luc Besson'],"{'directors': ['0000108'], 'stars': ['0000606', '0000198', '0000204'], 'writers': ['0000108']}","$19,501,238",0110413
Oppenheimer,3h,R,"['Biography', 'Drama', 'History']",['Christopher Nolan'],"['Cillian Murphy', 'Emily Blunt', 'Matt Damon']","['Christopher Nolan', 'Kai Bird', 'Martin Sherwin']","{'directors': ['0634240'], 'stars': ['0614165', '1289434', '0000354'], 'writers': ['0634240', '3284831', '2452558']}","$310,271,000",15398776
American History X,1h 59m,R,"['Crime', 'Drama']",['Tony Kaye'],"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo""]",['David McKenna'],"{'directors': ['0443411'], 'stars': ['0001570', '0000411', '0000350'], 'writers': ['0571346']}","$6,719,864",0120586
The Departed,2h 31m,R,"['Crime', 'Drama', 'Thriller']",['Martin Scorsese'],"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson']","['William Monahan', 'Alan Mak', 'Felix Chong']","{'directors': ['0000217'], 'stars': ['0000138', '0000354', '0000197'], 'writers': ['1184258', '0538320', '0159039']}","$132,399,394",0407887
