title,runtime,parental_guide,genre,directors,stars,writers,person_id,gross_us_canada,film_id
Good Will Hunting,2h 6m,R,"['Drama', 'Romance']",['Gus Van Sant'],"['Robin Williams', 'Matt Damon', 'Ben Affleck']","['Matt Damon', 'Ben Affleck']","{'directors': ['0001814'], 'stars': ['0000245', '0000354', '0000255'], 'writers': ['0000354', '0000255']}","$138,433,435",0119217
Once Upon a Time in America,3h 49m,R,"['Crime', 'Drama']",['Sergio Leone'],"['Robert De Niro', 'James Woods', 'Elizabeth McGovern']","['Harry Grey', 'Leonardo Benvenuti', 'Piero De Bernardi']","{'directors': ['0001466'], 'stars': ['0000134', '0000249', '0001527'], 'writers': ['0340580', '0073053', '0207401']}","$5,321,508",0087843
Your Name.,1h 46m,TV-PG,"['Animation', 'Drama', 'Fantasy']",['Makoto Shinkai'],"['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita']","['Makoto Shinkai', 'Clark Cheng']","{'directors': ['1396121'], 'stars': ['1126340', '4759838', '6954008'], 'writers': ['1396121', '1038805']}","$5,017,246",5311514
3 Idiots,2h 50m,PG-13,"['Comedy', 'Drama']",['Rajkumar Hirani'],"['Aamir Khan', 'Madhavan', 'Mona Singh']","['Abhijat Joshi', 'Rajkumar Hirani', 'Vidhu Vinod Chopra']","{'directors': ['0386246'], 'stars': ['0451148', '0534856', '1587175'], 'writers': ['0430785', '0386246', '0006765']}","$6,532,874",1187043
High and Low,2h 23m,Not Rated,"['Crime', 'Drama', 'Mystery']",['Akira Kurosawa'],"['Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai']","['Hideo Oguni', 'Ryûzô Kikushima', 'Eijirô Hisaita']","{'directors': ['0000041'], 'stars': ['0001536', '0755403', '0619938'], 'writers': ['0644823', '0452878', '0386750']}","$46,808",0057565
Singin' in the Rain,1h 43m,G,"['Comedy', 'Musical', 'Romance']","['Stanley Donen', 'Gene Kelly']","['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds']","['Betty Comden', 'Adolph Green']","{'directors': ['0002045', '0000037'], 'stars': ['0000037', '0640307', '0001666'], 'writers': ['0173679', '0337582']}","$1,884,537",0045152
Requiem for a Dream,1h 42m,Unrated,['Drama'],['Darren Aronofsky'],"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly']","['Hubert Selby Jr.', 'Darren Aronofsky']","{'directors': ['0004716'], 'stars': ['0000995', '0001467', '0000124'], 'writers': ['0782968', '0004716']}","$3,635,482",0180093
Capernaum,2h 6m,R,['Drama'],['Nadine Labaki'],"['Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole']","['Nadine Labaki', 'Jihad Hojeily', 'Michelle Keserwany']","{'directors': ['1701024'], 'stars': ['9862858', '9862859', '9862860'], 'writers': ['1701024', '2764802', '9878616']}","$1,661,096",8267604
Toy Story 3,1h 43m,G,"['Animation', 'Adventure', 'Comedy']",['Lee Unkrich'],"['Tom Hanks', 'Tim Allen', 'Joan Cusack']","['John Lasseter', 'Andrew Stanton', 'Lee Unkrich']","{'directors': ['0881279'], 'stars': ['0000158', '0000741', '0000349'], 'writers': ['0005124', '0004056', '0881279']}","$415,004,880",0435761
Come and See,2h 22m,Not Rated,"['Drama', 'Thriller', 'War']",['Elem Klimov'],"['Aleksey Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius']","['Ales Adamovich', 'Elem Klimov']","{'directors': ['0459552'], 'stars': ['0470385', '0592500', '0490708'], 'writers': ['0010696', '0459552']}","$71,909",0091251
Star Wars: Episode VI - Return of the Jedi,2h 11m,PG,"['Action', 'Adventure', 'Fantasy']",['Richard Marquand'],"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']","['Lawrence Kasdan', 'George Lucas']","{'directors': ['0549658'], 'stars': ['0000434', '0000148', '0000402'], 'writers': ['0001410', '0000184']}","$316,566,101",0086190
Eternal Sunshine of the Spotless Mind,1h 48m,R,"['Drama', 'Romance', 'Sci-Fi']",['Michel Gondry'],"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson']","['Charlie Kaufman', 'Michel Gondry', 'Pierre Bismuth']","{'directors': ['0327273'], 'stars': ['0000120', '0000701', '0929489'], 'writers': ['0442109', '0327273', '1410028']}","$34,400,301",0338013
2001: A Space Odyssey,2h 29m,G,"['Adventure', 'Sci-Fi']",['Stanley Kubrick'],"['Keir Dullea', 'Gary Lockwood', 'William Sylvester']","['Stanley Kubrick', 'Arthur C. Clarke']","{'directors': ['0000040'], 'stars': ['0001158', '0516972', '0843213'], 'writers': ['0000040', '0002009']}","$60,481,243",0062622
The Hunt,1h 55m,R,['Drama'],['Thomas Vinterberg'],"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp']","['Thomas Vinterberg', 'Tobias Lindholm']","{'directors': ['0899121'], 'stars': ['0586568', '0488917', '5038871'], 'writers': ['0899121', '2105585']}","$613,308",2106476
Reservoir Dogs,1h 39m,R,"['Crime', 'Thriller']",['Quentin Tarantino'],"['Harvey Keitel', 'Tim Roth', 'Michael Madsen']","['Quentin Tarantino', 'Roger Avary']","{'directors': ['0000233'], 'stars': ['0000172', '0000619', '0000514'], 'writers': ['0000233', '0000812']}","$2,832,029",0105236
Ikiru,2h 23m,Not Rated,['Drama'],['Akira Kurosawa'],"['Takashi Shimura', 'Nobuo Kaneko', ""Shin'ichi Himori""]","['Akira Kurosawa', 'Shinobu Hashimoto', 'Hideo Oguni']","{'directors': ['0000041'], 'stars': ['0793766', '0437520', '0385443'], 'writers': ['0000041', '0368074', '0644823']}","$60,239",0044741
Lawrence of Arabia,3h 38m,Approved,"['Adventure', 'Biography', 'Drama']",['David Lean'],"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn']","['Robert Bolt', 'Michael Wilson']","{'directors': ['0000180'], 'stars': ['0000564', '0000027', '0000063'], 'writers': ['0004122', '0933858']}","$45,306,425",0056172
Citizen Kane,1h 59m,PG,"['Drama', 'Mystery']",['Orson Welles'],"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore']","['Herman J. Mankiewicz', 'Orson Welles', 'John Houseman']","{'directors': ['0000080'], 'stars': ['0000080', '0001072', '0173827'], 'writers': ['0542534', '0000080', '0002144']}","$1,627,530",0033467
M,1h 39m,Passed,"['Crime', 'Mystery', 'Thriller']",['Fritz Lang'],"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut']","['Thea von Harbou', 'Fritz Lang', 'Egon Jacobsohn']","{'directors': ['0000485'], 'stars': ['0000048', '0927145', '0484737'], 'writers': ['0902376', '0000485', '0414825']}","$35,566",0022100
North by Northwest,2h 16m,Approved,"['Action', 'Adventure', 'Mystery']",['Alfred Hitchcock'],"['Cary Grant', 'Eva Marie Saint', 'James Mason']",['Ernest Lehman'],"{'directors': ['0000033'], 'stars': ['0000026', '0001693', '0000051'], 'writers': ['0499626']}","$66,728",0053125
The Apartment,2h 5m,Approved,"['Comedy', 'Drama', 'Romance']",['Billy Wilder'],"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray']","['Billy Wilder', 'I.A.L. Diamond']","{'directors': ['0000697'], 'stars': ['0000493', '0000511', '0534045'], 'writers': ['0000697', '0224634']}","$18,600,000",0053604
Vertigo,2h 8m,PG,"['Mystery', 'Romance', 'Thriller']",['Alfred Hitchcock'],"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes']","['Alec Coppel', 'Samuel A. Taylor', 'Pierre Boileau']","{'directors': ['0000033'], 'stars': ['0000071', '0001571', '0000895'], 'writers': ['0178785', '0853138', '0092267']}","$7,705,225",0052357
Double Indemnity,1h 47m,Passed,"['Crime', 'Drama', 'Film-Noir']",['Billy Wilder'],"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson']","['Billy Wilder', 'Raymond Chandler', 'James M. Cain']","{'directors': ['0000697'], 'stars': ['0534045', '0001766', '0000064'], 'writers': ['0000697', '0151452', '0128906']}",,0036775
Amélie,2h 2m,R,"['Comedy', 'Romance']",['Jean-Pierre Jeunet'],"['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus']","['Guillaume Laurant', 'Jean-Pierre Jeunet']","{'directors': ['0000466'], 'stars': ['0851582', '0440913', '0749363'], 'writers': ['0491011', '0000466']}","$33,225,499",0211915
Scarface,2h 50m,18+,"['Crime', 'Drama']",['Brian De Palma'],"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer']","['Oliver Stone', 'Howard Hawks', 'Ben Hecht']","{'directors': ['0000361'], 'stars': ['0000199', '0000201', '0000874'], 'writers': ['0000231', '0001328', '0372942']}","$45,408,703",0086250
Full Metal Jacket,1h 56m,R,"['Drama', 'War']",['Stanley Kubrick'],"['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio""]","['Stanley Kubrick', 'Michael Herr', 'Gustav Hasford']","{'directors': ['0000040'], 'stars': ['0000546', '0000388', '0000352'], 'writers': ['0000040', '0380282', '0368007']}","$46,357,676",0093058
A Clockwork Orange,2h 16m,X,"['Crime', 'Sci-Fi']",['Stanley Kubrick'],"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates']","['Stanley Kubrick', 'Anthony Burgess']","{'directors': ['0000040'], 'stars': ['0000532', '0535861', '0060988'], 'writers': ['0000040', '0121256']}","$26,617,553",0066921
Incendies,2h 11m,R,"['Drama', 'Mystery', 'War']",['Denis Villeneuve'],"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette']","['Denis Villeneuve', 'Wajdi Mouawad', 'Valérie Beaugrand-Champagne']","{'directors': ['0898288'], 'stars': ['0044073', '0246386', '0309945'], 'writers': ['0898288', '1416431', '4034068']}","$2,071,334",1255953
Hamilton,2h 40m,PG-13,"['Biography', 'Drama', 'History']",['Thomas Kail'],"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.']","['Lin-Manuel Miranda', 'Ron Chernow']","{'directors': ['2371802'], 'stars': ['0592135', '5623883', '1502434'], 'writers': ['0592135', '2375857']}",,8503618
Heat,2h 50m,R,"['Action', 'Crime', 'Drama']",['Michael Mann'],"['Al Pacino', 'Robert De Niro', 'Val Kilmer']",['Michael Mann'],"{'directors': ['0000520'], 'stars': ['0000199', '0000134', '0000174'], 'writers': ['0000520']}","$67,436,818",0113277
Up,1h 36m,PG,"['Animation', 'Adventure', 'Comedy']","['Pete Docter', 'Bob Peterson']","['Edward Asner', 'Jordan Nagai', 'John Ratzenberger']","['Pete Docter', 'Bob Peterson', 'Tom McCarthy']","{'directors': ['0230032', '0677037'], 'stars': ['0000799', '2973712', '0001652'], 'writers': ['0230032', '0677037', '0565336']}","$293,004,164",1049413
To Kill a Mockingbird,2h 9m,Approved,"['Crime', 'Drama']",['Robert Mulligan'],"['Gregory Peck', 'John Megna', 'Frank Overton']","['Harper Lee', 'Horton Foote']","{'directors': ['0612322'], 'stars': ['0000060', '0576345', '0653942'], 'writers': ['0497369', '0285210']}","$592,237",0056592
The Sting,2h 9m,PG,"['Comedy', 'Crime', 'Drama']",['George Roy Hill'],"['Paul Newman', 'Robert Redford', 'Robert Shaw']",['David S. Ward'],"{'directors': ['0001351'], 'stars': ['0000056', '0000602', '0001727'], 'writers': ['0911486']}","$156,000,000",0070735
A Separation,2h 3m,PG-13,['Drama'],['Asghar Farhadi'],"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat']",['Asghar Farhadi'],"{'directors': ['1410815'], 'stars': ['1818216', '0368689', '4299147'], 'writers': ['1410815']}","$7,099,055",1832382
Indiana Jones and the Last Crusade,2h 7m,PG-13,"['Action', 'Adventure']",['Steven Spielberg'],"['Harrison Ford', 'Sean Connery', 'Alison Doody']","['Jeffrey Boam', 'George Lucas', 'Menno Meyjes']","{'directors': ['0000229'], 'stars': ['0000148', '0000125', '0233145'], 'writers': ['0090151', '0000184', '0583675']}","$197,171,806",0097576
Metropolis,2h 33m,Not Rated,"['Drama', 'Sci-Fi']",['Fritz Lang'],"['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich']","['Thea von Harbou', 'Fritz Lang']","{'directors': ['0000485'], 'stars': ['0375609', '0002154', '0297054'], 'writers': ['0902376', '0000485']}","$1,236,166",0017136
Die Hard,2h 12m,R,"['Action', 'Thriller']",['John McTiernan'],"['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia']","['Roderick Thorp', 'Jeb Stuart', 'Steven E. de Souza']","{'directors': ['0001532'], 'stars': ['0000246', '0000614', '0000889'], 'writers': ['0861636', '0835732', '0211823']}","$83,844,093",0095016
L.A. Confidential,2h 18m,R,"['Crime', 'Drama', 'Mystery']",['Curtis Hanson'],"['Kevin Spacey', 'Russell Crowe', 'Guy Pearce']","['James Ellroy', 'Brian Helgeland', 'Curtis Hanson']","{'directors': ['0000436'], 'stars': ['0000228', '0000128', '0001602'], 'writers': ['0255278', '0001338', '0000436']}","$64,616,940",0119488
Bicycle Thieves,1h 29m,Not Rated,['Drama'],['Vittorio De Sica'],"['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell']","['Cesare Zavattini', 'Luigi Bartolini', 'Oreste Biancoli']","{'directors': ['0001120'], 'stars': ['0536009', '0821543', '0136794'], 'writers': ['0953790', '0059030', '0080755']}","$371,111",0040522
Snatch,1h 42m,R,"['Comedy', 'Crime']",['Guy Ritchie'],"['Jason Statham', 'Brad Pitt', 'Stephen Graham']",['Guy Ritchie'],"{'directors': ['0005363'], 'stars': ['0005458', '0000093', '0334318'], 'writers': ['0005363']}","$30,328,156",0208092
Like Stars on Earth,2h 45m,PG,"['Drama', 'Family']","['Aamir Khan', 'Amole Gupte']","['Darsheel Safary', 'Aamir Khan', 'Tanay Chheda']",['Amole Gupte'],"{'directors': ['0451148', '1244760'], 'stars': ['2594301', '0451148', '2540053'], 'writers': ['1244760']}","$1,223,869",0986264
Taxi Driver,1h 54m,R,"['Crime', 'Drama']",['Martin Scorsese'],"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd']",['Paul Schrader'],"{'directors': ['0000217'], 'stars': ['0000134', '0000149', '0001732'], 'writers': ['0001707']}","$28,262,574",0075314
1917,1h 59m,R,"['Action', 'Drama', 'War']",['Sam Mendes'],"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays']","['Sam Mendes', 'Krysty Wilson-Cairns']","{'directors': ['0005222'], 'stars': ['2835616', '1126657', '0990547'], 'writers': ['0005222', '4880670']}","$159,227,644",8579674
Downfall,2h 36m,R,"['Biography', 'Drama', 'History']",['Oliver Hirschbiegel'],"['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes']","['Bernd Eichinger', 'Joachim Fest', 'Traudl Junge']","{'directors': ['0386570'], 'stars': ['0004486', '0487884', '0559890'], 'writers': ['0251536', '0275264', '0432622']}","$5,509,040",0363163
Dangal,2h 41m,Not Rated,"['Action', 'Biography', 'Drama']",['Nitesh Tiwari'],"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh']","['Piyush Gupta', 'Shreyas Jain', 'Nikhil Mehrotra']","{'directors': ['4318159'], 'stars': ['0451148', '2799219', '0760778'], 'writers': ['6328029', '6328031', '6328030']}","$12,391,761",5074352
Top Gun: Maverick,2h 10m,PG-13,"['Action', 'Drama']",['Joseph Kosinski'],"['Tom Cruise', 'Jennifer Connelly', 'Miles Teller']","['Jim Cash', 'Jack Epps Jr.', 'Peter Craig']","{'directors': ['2676052'], 'stars': ['0000129', '0000124', '1886602'], 'writers': ['0143596', '0258390', '0185976']}","$718,732,821",1745960
For a Few Dollars More,2h 12m,R,"['Drama', 'Western']",['Sergio Leone'],"['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè']","['Sergio Leone', 'Fulvio Morsella', 'Luciano Vincenzoni']","{'directors': ['0001466'], 'stars': ['0000142', '0001812', '0002231'], 'writers': ['0001466', '0607694', '0898812']}","$15,000,000",0059578
Batman Begins,2h 20m,PG-13,"['Action', 'Crime', 'Drama']",['Christopher Nolan'],"['Christian Bale', 'Michael Caine', 'Ken Watanabe']","['Bob Kane', 'David S. Goyer', 'Christopher Nolan']","{'directors': ['0634240'], 'stars': ['0000288', '0000323', '0913822'], 'writers': ['0004170', '0275286', '0634240']}","$206,863,479",0372784
Some Like It Hot,2h 1m,Passed,"['Comedy', 'Music', 'Romance']",['Billy Wilder'],"['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon']","['Billy Wilder', 'I.A.L. Diamond', 'Robert Thoeren']","{'directors': ['0000697'], 'stars': ['0000054', '0000348', '0000493'], 'writers': ['0000697', '0224634', '0858329']}",,0053291
The Kid,1h 8m,Passed,"['Comedy', 'Drama', 'Family']",['Charles Chaplin'],"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan']",['Charles Chaplin'],"{'directors': ['0000122'], 'stars': ['0000122', '0701012', '0001067'], 'writers': ['0000122']}",,0012349
The Wolf of Wall Street,3h,R,"['Biography', 'Comedy', 'Crime']",['Martin Scorsese'],"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie']","['Terence Winter', 'Jordan Belfort']","{'directors': ['0000217'], 'stars': ['0000138', '1706767', '3053338'], 'writers': ['1010540', '0067789']}","$116,900,694",0993846
The Father,1h 37m,PG-13,"['Drama', 'Mystery']",['Florian Zeller'],"['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss']","['Christopher Hampton', 'Florian Zeller']","{'directors': ['1725469'], 'stars': ['0000164', '1469236', '0309693'], 'writers': ['0358960', '1725469']}","$2,122,771",10272386
Green Book,2h 10m,PG-13,"['Biography', 'Comedy', 'Drama']",['Peter Farrelly'],"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini']","['Nick Vallelonga', 'Brian Hayes Currie', 'Peter Farrelly']","{'directors': ['0268380'], 'stars': ['0001557', '0991810', '0004802'], 'writers': ['0885014', '0192942', '0268380']}","$85,080,171",6966692
All About Eve,2h 18m,Passed,['Drama'],['Joseph L. Mankiewicz'],"['Bette Davis', 'Anne Baxter', 'George Sanders']","['Joseph L. Mankiewicz', 'Mary Orr']","{'directors': ['0000581'], 'stars': ['0000012', '0000879', '0001695'], 'writers': ['0000581', '0650581']}","$63,463",0042192
Judgment at Nuremberg,2h 59m,Approved,"['Drama', 'War']",['Stanley Kramer'],"['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark']","['Abby Mann', 'Montgomery Clift']","{'directors': ['0006452'], 'stars': ['0000075', '0000044', '0001847'], 'writers': ['0542631', '0001050']}",,0055031
The Truman Show,1h 43m,PG,"['Comedy', 'Drama']",['Peter Weir'],"['Jim Carrey', 'Ed Harris', 'Laura Linney']",['Andrew Niccol'],"{'directors': ['0001837'], 'stars': ['0000120', '0000438', '0001473'], 'writers': ['0629272']}","$125,618,201",0120382
There Will Be Blood,2h 38m,R,['Drama'],['Paul Thomas Anderson'],"['Daniel Day-Lewis', 'Paul Dano', 'Ciarán Hinds']","['Paul Thomas Anderson', 'Upton Sinclair']","{'directors': ['0000759'], 'stars': ['0000358', '0200452', '0001354'], 'writers': ['0000759', '0801737']}","$40,222,514",0469494
Ran,2h 42m,R,"['Action', 'Drama', 'War']",['Akira Kurosawa'],"['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu']","['Akira Kurosawa', 'Hideo Oguni', 'Masato Ide']","{'directors': ['0000041'], 'stars': ['0619938', '0855417', '0628704'], 'writers': ['0000041', '0644823', '0406836']}","$4,135,750",0089881
Casino,2h 58m,R,"['Crime', 'Drama']",['Martin Scorsese'],"['Robert De Niro', 'Sharon Stone', 'Joe Pesci']","['Nicholas Pileggi', 'Martin Scorsese']","{'directors': ['0000217'], 'stars': ['0000134', '0000232', '0000582'], 'writers': ['0683380', '0000217']}","$42,512,375",0112641
Shutter Island,2h 18m,R,"['Mystery', 'Thriller']",['Martin Scorsese'],"['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo']","['Laeta Kalogridis', 'Dennis Lehane']","{'directors': ['0000217'], 'stars': ['0000138', '0607865', '0749263'], 'writers': ['0436164', '1212331']}","$128,012,934",1130884
Pan's Labyrinth,1h 58m,R,"['Drama', 'Fantasy', 'War']",['Guillermo del Toro'],"['Ivana Baquero', 'Ariadna Gil', 'Sergi López']",['Guillermo del Toro'],"{'directors': ['0868219'], 'stars': ['1419440', '0317725', '0530365'], 'writers': ['0868219']}","$37,646,380",0457430
The Sixth Sense,1h 47m,PG-13,"['Drama', 'Mystery', 'Thriller']",['M. Night Shyamalan'],"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette']",['M. Night Shyamalan'],"{'directors': ['0796117'], 'stars': ['0000246', '0005286', '0001057'], 'writers': ['0796117']}","$293,506,292",0167404
Unforgiven,2h 10m,R,"['Drama', 'Western']",['Clint Eastwood'],"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman']",['David Webb Peoples'],"{'directors': ['0000142'], 'stars': ['0000142', '0000432', '0000151'], 'writers': ['0672459']}","$101,167,799",0105695
Jurassic Park,2h 7m,PG-13,"['Action', 'Adventure', 'Sci-Fi']",['Steven Spielberg'],"['Sam Neill', 'Laura Dern', 'Jeff Goldblum']","['Michael Crichton', 'David Koepp']","{'directors': ['0000229'], 'stars': ['0000554', '0000368', '0000156'], 'writers': ['0000341', '0462895']}","$407,029,405",0107290
A Beautiful Mind,2h 15m,PG-13,"['Biography', 'Drama']",['Ron Howard'],"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly']","['Akiva Goldsman', 'Sylvia Nasar']","{'directors': ['0000165'], 'stars': ['0000128', '0000438', '0000124'], 'writers': ['0326040', '0621586']}","$170,742,341",0268978
The Treasure of the Sierra Madre,2h 6m,Passed,"['Adventure', 'Drama', 'Western']",['John Huston'],"['Humphrey Bogart', 'Walter Huston', 'Tim Holt']","['John Huston', 'B. Traven']","{'directors': ['0001379'], 'stars': ['0000007', '0404158', '0392529'], 'writers': ['0001379', '0871252']}","$5,014,000",0040897
Yojimbo,1h 50m,Not Rated,"['Action', 'Drama', 'Thriller']",['Akira Kurosawa'],"['Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai']","['Akira Kurosawa', 'Ryûzô Kikushima']","{'directors': ['0000041'], 'stars': ['0001536', '0867391', '0619938'], 'writers': ['0000041', '0452878']}","$46,808",0055630
No Country for Old Men,2h 2m,R,"['Crime', 'Drama', 'Thriller']","['Ethan Coen', 'Joel Coen']","['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin']","['Joel Coen', 'Ethan Coen', 'Cormac McCarthy']","{'directors': ['0001053', '0001054'], 'stars': ['0000169', '0000849', '0000982'], 'writers': ['0001054', '0001053', '0565092']}","$74,283,625",0477348
Monty Python and the Holy Grail,1h 31m,PG,"['Adventure', 'Comedy', 'Fantasy']","['Terry Gilliam', 'Terry Jones']","['Graham Chapman', 'John Cleese', 'Eric Idle']","['Graham Chapman', 'John Cleese', 'Eric Idle']","{'directors': ['0000416', '0001402'], 'stars': ['0001037', '0000092', '0001385'], 'writers': ['0001037', '0000092', '0001385']}","$1,827,696",0071853
Kill Bill: Vol. 1,1h 51m,R,"['Action', 'Crime', 'Thriller']",['Quentin Tarantino'],"['Uma Thurman', 'David Carradine', 'Daryl Hannah']","['Quentin Tarantino', 'Uma Thurman']","{'directors': ['0000233'], 'stars': ['0000235', '0001016', '0000435'], 'writers': ['0000233', '0000235']}","$70,099,045",0266697
The Great Escape,2h 52m,Approved,"['Adventure', 'Drama', 'History']",['John Sturges'],"['Steve McQueen', 'James Garner', 'Richard Attenborough']","['Paul Brickhill', 'James Clavell', 'W.R. Burnett']","{'directors': ['0836328'], 'stars': ['0000537', '0001258', '0000277'], 'writers': ['0108595', '0165412', '0122446']}",,0057115
The Thing,1h 49m,16+,"['Horror', 'Mystery', 'Sci-Fi']",['John Carpenter'],"['Kurt Russell', 'Wilford Brimley', 'Keith David']","['Bill Lancaster', 'John W. Campbell Jr.']","{'directors': ['0000118'], 'stars': ['0000621', '0000979', '0202966'], 'writers': ['0484111', '0132168']}","$19,629,760",0084787
Rashomon,1h 28m,Not Rated,"['Crime', 'Drama', 'Mystery']",['Akira Kurosawa'],"['Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori']","['Ryûnosuke Akutagawa', 'Akira Kurosawa', 'Shinobu Hashimoto']","{'directors': ['0000041'], 'stars': ['0001536', '0477553', '0605270'], 'writers': ['0015611', '0000041', '0368074']}","$46,808",0042876
Finding Nemo,1h 40m,G,"['Animation', 'Adventure', 'Comedy']","['Andrew Stanton', 'Lee Unkrich']","['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould']","['Andrew Stanton', 'Bob Peterson', 'David Reynolds']","{'directors': ['0004056', '0881279'], 'stars': ['0000983', '0001122', '1071252'], 'writers': ['0004056', '0677037', '0721675']}","$380,843,261",0266543
The Elephant Man,2h 4m,PG,"['Biography', 'Drama']",['David Lynch'],"['Anthony Hopkins', 'John Hurt', 'Anne Bancroft']","['Christopher De Vore', 'Eric Bergren', 'David Lynch']","{'directors': ['0000186'], 'stars': ['0000164', '0000457', '0000843'], 'writers': ['0212246', '0075015', '0000186']}","$26,010,864",0080678
Chinatown,2h 10m,R,"['Drama', 'Mystery', 'Thriller']",['Roman Polanski'],"['Jack Nicholson', 'Faye Dunaway', 'John Huston']","['Robert Towne', 'Roman Polanski']","{'directors': ['0000591'], 'stars': ['0000197', '0001159', '0001379'], 'writers': ['0001801', '0000591']}","$29,200,000",0071315
Spider-Man: No Way Home,2h 28m,PG-13,"['Action', 'Adventure', 'Fantasy']",['Jon Watts'],"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch']","['Chris McKenna', 'Erik Sommers', 'Stan Lee']","{'directors': ['1218281'], 'stars': ['4043618', '3918035', '1212722'], 'writers': ['0571344', '1273099', '0498278']}","$814,115,070",10872600
Gone with the Wind,3h 58m,Passed,"['Drama', 'Romance', 'War']","['Victor Fleming', 'George Cukor', 'Sam Wood']","['Clark Gable', 'Vivien Leigh', 'Thomas Mitchell']","['Margaret Mitchell', 'Sidney Howard', 'Oliver H.P. Garrett']","{'directors': ['0281808', '0002030', '0939992'], 'stars': ['0000022', '0000046', '0593775'], 'writers': ['0593565', '0397608', '0308177']}","$200,882,193",0031381
V for Vendetta,2h 12m,R,"['Action', 'Drama', 'Sci-Fi']",['James McTeigue'],"['Hugo Weaving', 'Natalie Portman', 'Rupert Graves']","['Lilly Wachowski', 'Lana Wachowski', 'David Lloyd']","{'directors': ['0574625'], 'stars': ['0915989', '0000204', '0001291'], 'writers': ['0905152', '0905154', '2331222']}","$70,511,035",0434409
Dial M for Murder,1h 45m,PG,"['Crime', 'Thriller']",['Alfred Hitchcock'],"['Ray Milland', 'Grace Kelly', 'Robert Cummings']",['Frederick Knott'],"{'directors': ['0000033'], 'stars': ['0001537', '0000038', '0191950'], 'writers': ['0461425']}","$24,845",0046912
Howl's Moving Castle,1h 59m,PG,"['Animation', 'Adventure', 'Family']",['Hayao Miyazaki'],"['Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin']","['Hayao Miyazaki', 'Diana Wynne Jones']","{'directors': ['0594503'], 'stars': ['0047962', '0454120', '0309107'], 'writers': ['0594503', '1168510']}","$6,789,268",0347149
Raging Bull,2h 9m,R,"['Biography', 'Drama', 'Sport']",['Martin Scorsese'],"['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci']","['Jake LaMotta', 'Joseph Carter', 'Peter Savage']","{'directors': ['0000217'], 'stars': ['0000134', '0001550', '0000582'], 'writers': ['0483766', '0141734', '0678014']}","$23,383,987",0081398
